"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
92,"SMPL","Simply Good Foods Co","Consumer Defensive","Packaged Foods","USA",1890.31,18.60,18.93,1.01%,1853502
93,"TPB","Turning Point Brands Inc","Consumer Defensive","Tobacco","USA",1923.10,35.51,100.84,2.19%,137465
94,"CENTA","Central Garden & Pet Co","Consumer Defensive","Packaged Foods","USA",1932.07,11.92,30.44,0.20%,242499
95,"UNFI","United Natural Foods Inc","Consumer Defensive","Food Distribution","USA",2078.38,,34.11,0.00%,941948
96,"SAM","Boston Beer Co., Inc","Consumer Defensive","Beverages - Brewers","USA",2087.87,23.09,195.89,0.92%,129020
97,"RLX","RLX Technology Inc ADR","Consumer Defensive","Tobacco","China",2219.74,30.01,2.44,1.67%,1073252
98,"FLO","Flowers Foods, Inc","Consumer Defensive","Packaged Foods","USA",2276.50,11.78,10.78,0.94%,3548665
99,"CHEF","Chefs' Warehouse Inc","Consumer Defensive","Food Distribution","USA",2417.54,34.36,59.42,-1.61%,423857
100,"ODD","ODDITY Tech Ltd","Consumer Defensive","Household & Personal Products","Israel",2601.41,25.33,45.29,0.69%,931329
101,"IPAR","Interparfums Inc","Consumer Defensive","Household & Personal Products","USA",2653.36,16.17,82.75,0.75%,210890
102,"LRN","Stride Inc","Consumer Defensive","Education & Training Services","USA",2749.06,9.67,62.68,2.72%,1657815
103,"COTY","Coty Inc","Consumer Defensive","Household & Personal Products","USA",3017.43,,3.45,1.77%,6122418
104,"FRPT","Freshpet Inc","Consumer Defensive","Packaged Foods","USA",3028.56,27.17,62.05,0.10%,1406835
105,"COCO","Vita Coco Company Inc","Consumer Defensive","Beverages - Non-Alcoholic","USA",3107.38,47.20,54.56,1.44%,670728
106,"FIZZ","National Beverage Corp","Consumer Defensive","Beverages - Non-Alcoholic","USA",3112.87,16.77,33.25,-4.29%,394920
107,"MH","McGraw Hill Inc","Consumer Defensive","Education & Training Services","USA",3212.65,,16.82,-1.35%,306574
108,"ATGE","Adtalem Global Education Inc","Consumer Defensive","Education & Training Services","USA",3434.50,14.19,94.54,-1.63%,559860
109,"BRBR","Bellring Brands Inc","Consumer Defensive","Packaged Foods","USA",3730.18,18.57,31.17,-0.61%,2192605
110,"TBBB","BBB Foods Inc","Consumer Defensive","Discount Stores","Mexico",3756.32,,32.73,-1.86%,496505
111,"PSMT","Pricesmart Inc","Consumer Defensive","Discount Stores","USA",3953.45,26.56,127.99,0.20%,150264
112,"CALM","Cal-Maine Foods, Inc","Consumer Defensive","Farm Products","USA",4108.40,3.26,84.71,-0.59%,772979
113,"LOPE","Grand Canyon Education Inc","Consumer Defensive","Education & Training Services","USA",4290.08,20.70,153.39,-1.50%,299415
114,"LAUR","Laureate Education Inc","Consumer Defensive","Education & Training Services","USA",4574.34,22.72,31.04,-0.13%,899175
115,"KOF","Coca-Cola Femsa S.A.B. DE C.V. ADR","Consumer Defensive","Beverages - Non-Alcoholic","Mexico",4754.11,15.80,90.52,-0.79%,147821
116,"ELF","e.l.f. Beauty Inc","Consumer Defensive","Household & Personal Products","USA",4854.43,57.69,81.40,-0.27%,2595883
117,"POST","Post Holdings Inc","Consumer Defensive","Packaged Foods","USA",5006.86,17.50,96.00,-1.90%,835842
118,"TAL","TAL Education Group ADR","Consumer Defensive","Education & Training Services","China",5235.37,38.93,11.36,2.34%,2452673
119,"DAR","Darling Ingredients Inc","Consumer Defensive","Packaged Foods","USA",5775.37,54.64,36.51,-0.11%,1159582
120,"PRMB","Primo Brands Corp","Consumer Defensive","Beverages - Non-Alcoholic","USA",5876.44,,15.87,-2.28%,3755238
121,"INGR","Ingredion Inc","Consumer Defensive","Packaged Foods","USA",6880.95,10.79,108.31,0.06%,673479
122,"OLLI","Ollies Bargain Outlet Holdings Inc","Consumer Defensive","Discount Stores","USA",7438.76,35.17,121.33,2.61%,1293685
123,"CAG","Conagra Brands Inc","Consumer Defensive","Packaged Foods","USA",8155.90,9.62,17.05,0.59%,8210868
124,"LW","Lamb Weston Holdings Inc","Consumer Defensive","Packaged Foods","USA",8319.34,28.66,59.70,-0.10%,981362
125,"SFM","Sprouts Farmers Market Inc","Consumer Defensive","Grocery Stores","USA",8328.98,16.57,85.54,0.34%,1694971
