"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
21,"CIIT","Tianci International Inc","Industrials","Integrated Freight & Logistics","Hong Kong",7.46,,0.45,-7.96%,148834
22,"DEVS","DevvStream Corp","Industrials","Pollution & Treatment Controls","USA",7.68,,2.00,-10.71%,2126136
23,"BKYI","Bio-Key International Inc","Industrials","Security & Protection Services","USA",8.29,,0.76,0.79%,142972
24,"EHGO","Eshallgo Inc","Industrials","Business Equipment & Supplies","China",8.52,,0.29,0.03%,50323
25,"IPDN","Professional Diversity Network Inc","Industrials","Staffing & Employment Services","USA",8.93,,1.83,-5.18%,74825
26,"CRE","Cre8 Enterprise Ltd","Industrials","Specialty Business Services","Hong Kong",9.13,27.17,0.38,0.53%,150811
27,"VRME","VerifyMe Inc","Industrials","Security & Protection Services","USA",9.20,,0.74,-1.37%,2881686
28,"ZDAI","DirectBooking Technology Co Ltd","Industrials","Engineering & Construction","Hong Kong",9.25,,0.35,-2.12%,69866
29,"INLF","INLIF Ltd","Industrials","Specialty Industrial Machinery","China",9.29,,0.64,-3.84%,324522
30,"SOAR","Volato Group Inc","Industrials","Airports & Air Services","USA",9.53,1.25,1.28,-6.57%,159648
31,"PMAX","Powell Max Ltd","Industrials","Specialty Business Services","Hong Kong",9.58,,3.31,12.97%,409007
32,"FBGL","FBS Global Ltd","Industrials","Engineering & Construction","USA",10.38,,0.77,2.93%,865379
33,"AWX","Avalon Holdings Corp","Industrials","Waste Management","USA",10.65,59.22,2.73,-1.09%,7625
34,"AEHL","Antelope Enterprise Holdings Ltd","Industrials","Building Products & Equipment","China",11.08,,3.24,0.31%,914051
35,"SFHG","Samfine Creation Holdings Group Ltd","Industrials","Specialty Business Services","Hong Kong",11.15,,0.55,5.64%,215450
36,"ENGS","Energys Group Ltd","Industrials","Waste Management","United Kingdom",11.43,,0.80,-12.08%,354579
37,"XPON","Expion360 Inc","Industrials","Electrical Equipment & Parts","USA",11.59,,1.20,-3.23%,282045
38,"ELPW","Elong Power Holding Ltd","Industrials","Electrical Equipment & Parts","China",11.95,0.95,0.21,-3.79%,73194
39,"LBGJ","Li Bang International Corp Inc","Industrials","Specialty Industrial Machinery","China",12.15,,0.65,-8.73%,96822
40,"TLIH","Ten League International Holdings Ltd","Industrials","Industrial Distribution","Singapore",12.71,4.39,0.43,-1.88%,138862
41,"MIMI","Mint Inc Ltd","Industrials","Engineering & Construction","Hong Kong",12.82,,0.51,2.13%,281371
42,"WFF","WF Holding Ltd","Industrials","Specialty Industrial Machinery","Malaysia",13.40,,0.53,-2.69%,38901
43,"GRNQ","Greenpro Capital Corp","Industrials","Consulting Services","Malaysia",13.57,,1.62,0.31%,22809
44,"KITT","Nauticus Robotics Inc","Industrials","Aerospace & Defense","USA",15.36,,1.12,-4.27%,33726882
45,"NCT","Intercont (Cayman) Ltd","Industrials","Marine Shipping","Hong Kong",15.92,4.66,0.54,0.84%,149661
46,"GLXG","Galaxy Payroll Group Ltd","Industrials","Staffing & Employment Services","Hong Kong",18.15,,3.15,-8.70%,2462
47,"GFAI","Guardforce AI Co Ltd","Industrials","Security & Protection Services","Singapore",18.45,,0.88,-3.96%,373976
48,"INTJ","Intelligent Group Ltd","Industrials","Consulting Services","Hong Kong",19.07,,0.62,4.71%,137324
49,"MNTS","Momentus Inc","Industrials","Aerospace & Defense","USA",19.32,,0.80,1.28%,976350
50,"ONEG","OneConstruction Group Ltd","Industrials","Engineering & Construction","Hong Kong",19.36,,1.21,-6.20%,127995
51,"RVSN","Rail Vision Ltd","Industrials","Railroads","Israel",20.11,,0.39,-2.48%,1078161
52,"JOB","GEE Group Inc","Industrials","Staffing & Employment Services","USA",20.88,,0.19,0.42%,305272
53,"HCAI","Huachen AI Parking Management Technology Holding Co. Ltd","Industrials","Farm & Heavy Construction Machinery","China",21.29,,0.43,4.54%,20779
54,"AQMS","Aqua Metals Inc","Industrials","Waste Management","USA",21.43,,7.19,-4.39%,157168
55,"STAI","ScanTech AI Systems Inc","Industrials","Building Products & Equipment","USA",21.58,,0.29,-5.99%,3855209
56,"SGBX","Safe & Green Holdings Corp","Industrials","Metal Fabrication","USA",21.67,,3.81,-6.16%,2293620
