"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
110,"MPW","Medical Properties Trust Inc","Real Estate","REIT - Healthcare Facilities","USA",3296.22,,5.48,-2.32%,5001512
111,"BNL","Broadstone Net Lease Inc","Real Estate","REIT - Diversified","USA",3298.04,37.64,17.43,-0.57%,2535321
112,"RYN","Rayonier Inc","Real Estate","REIT - Specialty","USA",3310.39,8.86,21.51,0.33%,1250569
113,"BXMT","Blackstone Mortgage Trust Inc","Real Estate","REIT - Mortgage","USA",3334.35,31.93,19.88,1.07%,1019298
114,"JOE","St. Joe Co","Real Estate","Real Estate - Diversified","USA",3479.69,33.45,60.26,-2.48%,215831
115,"CWK","Cushman & Wakefield Ltd","Real Estate","Real Estate Services","Bermuda",3652.40,16.53,15.77,-1.07%,2228307
116,"SKT","Tanger Inc","Real Estate","REIT - Retail","USA",3693.88,34.20,32.09,-0.53%,737678
117,"NHI","National Health Investors, Inc","Real Estate","REIT - Healthcare Facilities","USA",3735.34,24.72,78.41,-0.80%,135475
118,"OUT","Outfront Media Inc","Real Estate","REIT - Specialty","USA",3898.24,33.99,23.31,0.04%,901861
119,"EPR","EPR Properties","Real Estate","REIT - Specialty","USA",3931.89,22.53,51.64,-0.52%,926336
120,"NSA","National Storage Affiliates Trust","Real Estate","REIT - Industrial","USA",3981.11,48.09,29.63,0.03%,1940529
121,"IRT","Independence Realty Trust Inc","Real Estate","REIT - Residential","USA",4050.75,173.27,16.53,-1.31%,1691297
122,"CUZ","Cousins Properties Inc","Real Estate","REIT - Office","USA",4143.71,71.14,24.67,-2.34%,1200425
123,"MAC","Macerich Co","Real Estate","REIT - Retail","USA",4736.28,,17.75,2.25%,1278856
124,"SBRA","Sabra Healthcare REIT Inc","Real Estate","REIT - Healthcare Facilities","USA",4807.46,26.52,19.28,1.21%,3885829
125,"PECO","Phillips Edison & Company Inc","Real Estate","REIT - Retail","USA",4830.88,57.16,34.88,0.11%,644594
126,"KRC","Kilroy Realty Corp","Real Estate","REIT - Office","USA",4871.43,15.04,40.78,0.10%,1672761
127,"MRP","Millrose Properties Inc","Real Estate","REIT - Residential","USA",4889.16,24.28,31.71,0.60%,2233773
128,"KRG","Kite Realty Group Trust","Real Estate","REIT - Retail","USA",4901.69,201.42,22.64,0.09%,1771861
129,"HHH","Howard Hughes Holdings Inc","Real Estate","Real Estate - Diversified","USA",5130.79,16.82,86.39,-0.91%,477437
130,"RHP","Ryman Hospitality Properties Inc","Real Estate","REIT - Hotel & Motel","USA",5779.99,24.74,91.74,-0.24%,611346
131,"COMP","Compass Inc","Real Estate","Real Estate Services","USA",5802.27,,10.32,-0.77%,6566337
132,"EPRT","Essential Properties Realty Trust Inc","Real Estate","REIT - Retail","USA",6090.11,24.70,30.65,-1.32%,1464278
133,"HR","Healthcare Realty Trust Inc","Real Estate","REIT - Healthcare Facilities","USA",6118.34,,17.40,-0.34%,2413471
134,"RITM","Rithm Capital Corporation","Real Estate","REIT - Mortgage","USA",6284.59,7.83,11.34,-0.18%,3803896
135,"TRNO","Terreno Realty Corp","Real Estate","REIT - Industrial","USA",6439.45,19.85,62.28,-0.22%,501449
136,"CDP","COPT Defense Properties","Real Estate","REIT - Office","USA",6576.36,22.07,29.11,-1.49%,584527
137,"STWD","Starwood Property Trust Inc","Real Estate","REIT - Mortgage","USA",6754.84,17.38,18.24,-0.33%,2354106
138,"OPEN","Opendoor Technologies Inc","Real Estate","Real Estate Services","USA",6819.59,,7.15,-5.67%,46045888
139,"STAG","STAG Industrial Inc","Real Estate","REIT - Industrial","USA",7244.04,29.97,38.79,-0.21%,1022175
140,"VNO","Vornado Realty Trust","Real Estate","REIT - Office","USA",7268.64,8.29,34.82,-1.78%,2596457
141,"NNN","NNN REIT Inc","Real Estate","REIT - Retail","USA",7636.72,19.26,40.21,-1.06%,1370034
142,"BRX","Brixmor Property Group Inc","Real Estate","REIT - Retail","USA",7710.66,23.33,25.19,-0.28%,2297690
143,"ARE","Alexandria Real Estate Equities Inc","Real Estate","REIT - Office","USA",7860.08,,45.48,-2.38%,5032870
144,"FR","First Industrial Realty Trust, Inc","Real Estate","REIT - Industrial","USA",7896.61,32.36,57.85,1.90%,1710814
145,"LINE","Lineage Inc","Real Estate","REIT - Industrial","USA",8065.47,,35.33,-1.86%,501936
146,"CUBE","CubeSmart","Real Estate","REIT - Industrial","USA",8393.37,23.50,36.63,-0.49%,1953326
147,"CTRE","CareTrust REIT Inc","Real Estate","REIT - Healthcare Facilities","USA",8418.42,28.09,37.70,-0.16%,1144104
148,"FRT","Federal Realty Investment Trust","Real Estate","REIT - Retail","USA",8436.66,24.70,97.20,0.07%,690347
149,"ADC","Agree Realty Corp","Real Estate","REIT - Retail","USA",8493.65,43.23,73.90,-0.65%,793277
150,"FRMI","Fermi Inc","Real Estate","REIT - Specialty","USA",9308.54,,15.16,-4.71%,2975277
