"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
57,"LWLG","Lightwave Logic Inc","Basic Materials","Specialty Chemicals","USA",538.54,,4.03,-4.28%,532379
58,"KRO","Kronos Worldwide, Inc","Basic Materials","Specialty Chemicals","USA",544.20,,4.73,-1.05%,195002
59,"GEVO","Gevo Inc","Basic Materials","Specialty Chemicals","USA",554.89,,2.29,-3.38%,1901032
60,"SXC","SunCoke Energy Inc","Basic Materials","Coking Coal","USA",575.73,8.94,6.80,0.59%,1103770
61,"IDR","Idaho Strategic Resources Inc","Basic Materials","Gold","USA",592.82,54.65,38.02,-2.31%,290001
62,"TROX","Tronox Holdings plc","Basic Materials","Chemicals","USA",608.84,,3.84,0.26%,2173866
63,"DC","Dakota Gold Corp","Basic Materials","Gold","USA",609.35,,5.38,-0.92%,1145628
64,"GAU","Galiano Gold Inc","Basic Materials","Gold","Canada",620.90,,2.39,1.70%,2314342
65,"ITRG","Integra Resources Corp","Basic Materials","Other Precious Metals & Mining","Canada",621.37,44.48,3.67,1.38%,882729
66,"LXU","LSB Industries, Inc","Basic Materials","Chemicals","USA",635.27,,8.83,-3.07%,338138
67,"MATV","Mativ Holdings Inc","Basic Materials","Specialty Chemicals","USA",660.55,,12.08,-0.49%,205654
68,"MTA","Metalla Royalty and Streaming Ltd","Basic Materials","Other Precious Metals & Mining","Canada",675.69,,7.30,-3.44%,528500
69,"GPRE","Green Plains Inc","Basic Materials","Chemicals","USA",680.19,,9.74,-5.62%,1176986
70,"MTUS","Metallus Inc","Basic Materials","Steel","USA",724.69,,17.40,0.52%,219345
71,"ASPI","ASP Isotopes Inc","Basic Materials","Chemicals","USA",724.89,,6.54,-1.95%,6944679
72,"GROY","Gold Royalty Corp","Basic Materials","Gold","Canada",739.21,,4.25,-2.97%,2698104
73,"NB","NioCorp Developments Ltd","Basic Materials","Other Industrial Metals & Mining","USA",777.04,,6.51,-5.92%,5351827
74,"TMQ","Trilogy Metals Inc","Basic Materials","Other Industrial Metals & Mining","Canada",797.14,,4.66,-0.85%,4763582
75,"LAR","Lithium Argentina AG","Basic Materials","Other Industrial Metals & Mining","Switzerland",834.22,,5.14,-1.72%,1648197
76,"CMP","Compass Minerals International Inc","Basic Materials","Other Industrial Metals & Mining","USA",845.45,,20.28,0.80%,368098
77,"ASM","Avino Silver & Gold Mines Ltd","Basic Materials","Other Precious Metals & Mining","Canada",861.11,37.78,5.49,-0.90%,4183140
78,"GSM","Ferroglobe Plc","Basic Materials","Other Industrial Metals & Mining","United Kingdom",869.68,,4.66,-0.43%,869898
79,"UAMY","United States Antimony Corp","Basic Materials","Other Industrial Metals & Mining","USA",890.63,,6.36,3.92%,16027941
80,"ODV","Osisko Development Corp","Basic Materials","Gold","Canada",923.24,,3.62,1.69%,919834
81,"HYMC","Hycroft Mining Holding Corporation","Basic Materials","Gold","USA",927.06,,11.45,-4.34%,1287194
82,"ECVT","Ecovyst Inc","Basic Materials","Specialty Chemicals","USA",996.53,,8.74,2.46%,2454878
83,"MUX","McEwen Inc","Basic Materials","Other Precious Metals & Mining","Canada",1022.60,,18.77,0.27%,966376
84,"NFGC","New Found Gold Corp","Basic Materials","Gold","Canada",1045.88,,3.10,3.33%,2733114
85,"IAUX","i-80 Gold Corp","Basic Materials","Gold","USA",1049.38,,1.27,1.60%,6271502
86,"SGML","Sigma Lithium Corporation","Basic Materials","Other Industrial Metals & Mining","Brazil",1050.31,,9.43,-5.51%,3276596
