"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
33,"MGIH","Millennium Group International Holdings Ltd","Consumer Cyclical","Packaging & Containers","Hong Kong",14.96,,1.33,-5.67%,25739
34,"CENN","Cenntro Inc","Consumer Cyclical","Auto Manufacturers","USA",16.40,,0.19,10.68%,11405761
35,"MMA","Mixed Martial Arts Group Ltd","Consumer Cyclical","Leisure","Australia",16.60,,1.27,1.84%,56002
36,"MRM","MEDIROM Healthcare Technologies Inc ADR","Consumer Cyclical","Personal Services","Japan",16.75,5.79,2.12,-0.70%,185818
37,"FGI","FGI Industries Ltd","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",17.32,,9.02,25.02%,166283
38,"MWYN","Marwynn Holdings Inc","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",17.77,,0.88,1.14%,32374
39,"YYGH","YY Group Holding Ltd","Consumer Cyclical","Personal Services","Singapore",18.69,,0.29,1.02%,300400
40,"WKHS","Workhorse Group Inc","Consumer Cyclical","Auto Manufacturers","USA",18.72,,0.78,-8.36%,1718433
41,"MOGU","MOGU Inc ADR","Consumer Cyclical","Internet Retail","China",18.97,,2.65,-1.32%,3046
42,"BGI","Birks Group Inc","Consumer Cyclical","Luxury Goods","Canada",21.16,,1.08,-1.04%,7287
43,"CGTL","Creative Global Technology Holdings Ltd","Consumer Cyclical","Specialty Retail","Hong Kong",21.85,,0.73,0.00%,80135
44,"REE","REE Automotive Ltd","Consumer Cyclical","Auto Parts","Israel",23.58,,0.76,-9.62%,103324
45,"WKSP","Worksport Ltd","Consumer Cyclical","Auto Parts","USA",24.85,,3.01,0.33%,209366
46,"KMRK","K-Tech Solutions Company Ltd","Consumer Cyclical","Leisure","Hong Kong",26.90,,1.27,-1.92%,20482
47,"LGCB","Linkage Global Inc","Consumer Cyclical","Internet Retail","Japan",27.97,,2.06,-0.12%,8915
48,"KXIN","Kaixin Holdings","Consumer Cyclical","Auto & Truck Dealerships","China",29.68,,4.91,19.17%,397273
49,"RECT","Rectitude Holdings Ltd","Consumer Cyclical","Specialty Retail","Singapore",30.16,23.45,2.08,-0.48%,5893
50,"PRTS","CarParts.com Inc","Consumer Cyclical","Auto Parts","USA",30.74,,0.44,-0.09%,1138994
51,"ABLV","Able View Global Inc","Consumer Cyclical","Specialty Retail","China",38.43,,0.78,-19.92%,830121
52,"VNCE","Vince Holding Corp","Consumer Cyclical","Apparel Manufacturing","USA",38.61,,2.98,3.37%,131673
53,"NDLS","Noodles & Company","Consumer Cyclical","Restaurants","USA",45.76,,0.98,3.94%,584594
54,"DBGI","Digital Brands Group Inc","Consumer Cyclical","Apparel Retail","USA",49.79,,7.87,16.94%,243915
55,"SPHL","Springview Holdings Ltd","Consumer Cyclical","Residential Construction","Singapore",52.78,,4.53,36.04%,426691
56,"VRA","Vera Bradley Inc","Consumer Cyclical","Footwear & Accessories","USA",61.46,,2.20,-7.17%,886332
57,"SPWH","Sportsman's Warehouse Holdings Inc","Consumer Cyclical","Specialty Retail","USA",66.10,,1.72,-29.80%,7325035
58,"UHG","United Homes Group Inc","Consumer Cyclical","Residential Construction","USA",67.64,,1.15,-3.36%,151582
59,"HOUR","Hour Loop Inc","Consumer Cyclical","Internet Retail","USA",71.41,85.65,2.03,0.50%,10522
60,"RRGB","Red Robin Gourmet Burgers Inc","Consumer Cyclical","Restaurants","USA",71.50,,3.98,-2.45%,148429
61,"LAZR","Luminar Technologies Inc","Consumer Cyclical","Auto Parts","USA",72.38,,0.93,-9.75%,8161925
62,"AGH","Aureus Greenway Holdings Inc","Consumer Cyclical","Leisure","USA",73.93,,4.91,-1.80%,40398
63,"PRPL","Purple Innovation Inc","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",81.14,,0.75,-0.68%,258762
64,"VIOT","Viomi Technology Co Ltd ADR","Consumer Cyclical","Furnishings, Fixtures & Appliances","China",81.89,6.75,2.43,-2.80%,46863
65,"ZOOZ","Zooz Strategy Ltd","Consumer Cyclical","Specialty Retail","Israel",84.19,,0.52,-0.95%,491484
66,"GRWG","GrowGeneration Corp","Consumer Cyclical","Specialty Retail","USA",87.97,,1.47,-2.65%,242637
67,"COOK","Traeger Inc","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",109.18,,0.80,-2.94%,298387
68,"CURV","Torrid Holdings Inc","Consumer Cyclical","Apparel Retail","USA",114.04,,1.15,1.77%,605299
69,"BARK","BARK Inc","Consumer Cyclical","Specialty Retail","USA",115.24,,0.67,-1.32%,427885
70,"IRBT","Irobot Corp","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",117.44,,3.69,21.78%,145733679
71,"SEV","Aptera Motors Corp","Consumer Cyclical","Auto Manufacturers","USA",149.16,,5.42,-5.90%,219889
72,"SNBR","Sleep Number Corp","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",151.78,,6.66,-3.76%,643383
73,"BZUN","Baozun Inc ADR","Consumer Cyclical","Internet Retail","China",162.93,,3.05,4.10%,183456
74,"DOGZ","Dogness (International) Corp","Consumer Cyclical","Leisure","China",164.28,,11.52,0.61%,44114
75,"FNKO","Funko Inc","Consumer Cyclical","Leisure","USA",166.73,,3.01,-3.53%,503764
76,"EMPD","Empery Digital Inc","Consumer Cyclical","Auto Manufacturers","USA",171.19,,4.70,-7.11%,884957
77,"PLCE","Childrens Place Inc","Consumer Cyclical","Apparel Manufacturing","USA",172.02,,7.76,3.05%,254404
78,"GAMB","Gambling.com Group Ltd","Consumer Cyclical","Gambling","United Kingdom",188.70,103.52,5.30,-1.30%,302763
79,"FFAI","Faraday Future Intelligent Electric Inc","Consumer Cyclical","Auto Manufacturers","USA",191.32,,1.13,-5.83%,4563750
80,"HERE","Here Group Ltd. ADR","Consumer Cyclical","Leisure","China",198.24,15.18,5.25,5.85%,703060
81,"LOVE","Lovesac Company","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",204.11,22.41,13.97,0.07%,286733
82,"AIIO","Robo.ai Inc","Consumer Cyclical","Auto Manufacturers","United Arab Emirates",205.43,,0.61,-6.93%,24773799
83,"FOSL","Fossil Group Inc","Consumer Cyclical","Footwear & Accessories","USA",205.45,,3.76,4.74%,1166280
84,"SDA","SunCar Technology Group Inc","Consumer Cyclical","Auto & Truck Dealerships","China",208.10,,2.04,-0.97%,49628
